fdc_id,description,protein,fat,carbs,calories,calories,iron
321358,"Hummus, commercial",7.35,17.1,14.9,229.0,960.0,2.41
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,1.9,4.91,50.0,209.0,0.0
321360,"Tomatoes, grape, raw",0.83,0.63,5.51,27.0,113.0,0.33
321611,"Beans, snap, green, canned, regular pack, drained solids",1.04,0.39,4.11,21.0,86.0,0.78
321900,"Broccoli, raw",2.57,0.34,6.29,32.0,132.0,0.69
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.19,43.0,179.0,0.0
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.89,34.0,143.0,0.0
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",3.28,3.2,4.67,60.0,252.0,0.0
323121,"Frankfurter, beef, unheated",11.7,28.0,2.89,314.0,1310.0,1.14
323294,"Nuts, almonds, dry roasted, with salt added",20.4,57.8,16.2,620.0,2590.0,3.17
323444,"Cheese, ricotta, whole milk",7.81,11.0,6.86,157.0,657.0,0.1
323505,"Kale, raw",2.92,1.49,4.42,35.0,148.0,1.6
323604,"Egg, whole, raw, frozen, pasteurized",12.3,10.3,0.91,150.0,627.0,1.77
323697,"Egg, white, raw, frozen, pasteurized",10.1,0.16,0.74,48.0,201.0,0.18
323793,"Egg, white, dried",79.9,0.65,6.02,376.0,1570.0,0.0
324038,"Sauce, salsa, ready-to-serve",1.44,0.19,6.74,29.0,122.0,0.42
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,28.7,3.37,328.0,1370.0,1.55
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52,14.4,36.3,288.0,1210.0,1.14
324653,"Pickles, cucumber, dill or kosher dill",0.48,0.43,1.99,12.0,50.0,0.23
324860,"Peanut butter, smooth style, with salt",22.5,51.1,22.3,597.0,2500.0,1.73
325036,"Cheese, parmesan, grated",29.6,28.0,12.4,421.0,1760.0,0.45
325198,"Cheese, pasteurized process, American, vitamin D fortified",18.0,30.6,5.27,366.0,1530.0,0.48
325287,"Grapefruit juice, white, canned or bottled, unsweetened",0.55,0.7,7.59,37.0,157.0,0.07
325430,"Peaches, yellow, raw",0.91,0.27,10.1,42.0,174.0,0.34
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0,56.1,17.1,612.0,2560.0,5.21
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,26.2,2.15,322.0,1350.0,1.29
325871,"Bread, white, commercially prepared",9.43,3.59,49.2,270.0,1130.0,3.36
325992,"Sausage, turkey, breakfast links, mild, raw",16.7,10.4,0.93,169.0,706.0,1.17
326135,"Cheese, swiss",27.0,31.0,1.44,393.0,1640.0,0.13
326196,"Kale, frozen, cooked, boiled, drained, without salt",2.94,1.21,5.3,36.0,151.0,0.84
326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.81,0.47,7.92,37.0,153.0,0.43
326698,"Mustard, prepared, yellow",4.25,3.38,5.3,61.0,254.0,1.59
326905,"Figs, dried, uncooked",3.3,0.92,63.9,249.0,1040.0,2.03
327046,"Kiwifruit, green, raw",1.06,0.44,14.0,58.0,241.0,0.24
327198,"Melons, cantaloupe, raw",0.82,0.18,8.16,34.0,141.0,0.38
327357,"Nectarines, raw",1.06,0.28,9.18,39.0,163.0,0.3
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",0.91,0.15,11.8,47.0,196.0,0.33
327699,"Strawberries, raw",0.64,0.22,7.63,31.0,132.0,0.28
327923,"Lettuce, cos or romaine, raw",1.24,0.26,3.24,17.0,70.0,0.95
328637,"Cheese, cheddar",23.3,34.0,2.44,408.0,1710.0,0.16
328841,"Cheese, cottage, lowfat, 2% milkfat",11.0,2.3,4.31,84.0,352.0,0.13
329370,"Cheese, mozzarella, low moisture, part-skim",23.7,20.4,4.44,298.0,1240.0,0.2
329490,"Egg, whole, dried",48.1,39.8,1.87,575.0,2410.0,6.97
329596,"Egg, yolk, raw, frozen, pasteurized",15.6,25.1,0.59,296.0,1240.0,4.13
329716,"Egg, yolk, dried",34.2,55.5,1.07,654.0,2740.0,9.28
329830,"Cheese, dry white, queso seco",24.5,24.3,2.07,326.0,1360.0,0.18
330137,"Yogurt, Greek, plain, nonfat",10.3,0.37,3.64,61.0,256.0,0.07
330415,"Yogurt, Greek, strawberry, nonfat",8.06,0.15,12.2,83.0,347.0,0.09
330458,"Oil, coconut",0.0,99.1,0.84,833.0,3480.0,0.05
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,11.6,0.0,220.0,922.0,1.56
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9,5.95,0.0,156.0,652.0,0.94
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1,3.24,0.0,166.0,695.0,0.49
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41,1.48,8.05,45.0,186.0,0.78
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7,3.73,0.27,106.0,443.0,0.58
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.38,0.16,15.1,57.0,238.0,0.17
332791,"Olives, green, Manzanilla, stuffed with pimiento",1.15,12.9,4.96,130.0,543.0,0.31
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,28.1,2.63,346.0,1450.0,2.34
333008,"Cookies, oatmeal, soft, with raisins",5.79,14.3,69.6,430.0,1800.0,2.28
333281,"Tomatoes, canned, red, ripe, diced",0.84,0.5,3.32,18.0,76.0,0.57
333374,"Fish, haddock, raw",16.3,0.45,0.0,74.0,308.0,0.17
333476,"Fish, pollock, raw",12.3,0.41,0.0,56.0,235.0,0.22
334194,"Fish, tuna, light, canned in water, drained solids",19.0,0.94,0.08,90.0,376.0,1.67
334247,"Sugars, granulated",0.0,0.32,99.6,385.0,1610.0,0.05
334462,"Restaurant, Chinese, sweet and sour pork",8.88,13.6,25.5,260.0,1090.0,3.07
334536,"Restaurant, Chinese, fried rice, without meat",3.84,3.19,32.5,174.0,729.0,0.46
334628,"Restaurant, Latino, tamale, pork",7.38,9.04,15.8,174.0,728.0,0.87
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59,9.01,31.5,229.0,959.0,1.46
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,6.39,0.0,155.0,648.0,1.9
334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,6.36,0.0,176.0,735.0,3.04
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,2.48,0.0,122.0,512.0,1.37
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,2.41,0.0,123.0,514.0,2.34
